Groningen, 20396
Friesland, 2312
Drenthe, 1726
Overijssel, 10123
Flevoland, 2245
Gelderland, 28293
Utrecht, 27521
Noord-Holland, 46986
Zuid-Holland, 65157
Zeeland, 1331
Noord-Brabant, 25683
Limburg, 12066
Onbepaald, 24066
