Australia,180.81
Austria,182.62
Belgium,135.95
Canada,177.63
Chile,65.48
Czech Republic,127.53
Denmark,190.18
Finland,190.25
France,139.31
Germany,195.94
Greece,94.66
Hungary,93.07
Ireland,148.85
Italy,100.99
Japan,168.28
Mexico,84.97
Netherlands,166.76
New Zealand,175.51
Norway,175.09
Poland,109.74
Portugal,129.16
Slovenia,134.49
Spain,134.91
Sweden,193.86
Switzerland,222.94
Turkey,82.55
United Kingdom,156.90
United States,192.49
Brazil,29.84
Russia,28.38
